name,type,start_time,duration,"mosi","miso"
"SPI","result",0.0044324,0.0000076,0xB3,0x00
"SPI","result",0.0044414,0.0000076,0xA1,0x00
"SPI","result",0.0044504,0.0000076,0x43,0x00
"SPI","result",0.0044594,0.0000076,0x05,0x00
"SPI","result",0.0044684,0.0000076,0x51,0x00
"SPI","result",0.0044774,0.0000076,0x43,0x00
"SPI","result",0.0044864,0.0000076,0x18,0x00
"SPI","result",0.0044954,0.0000076,0xF4,0x00
"SPI","result",0.0045044,0.0000076,0x6A,0x00
"SPI","result",0.0045134,0.0000076,0xFA,0x00
"SPI","result",0.0045224,0.0000076,0x28,0x00
"SPI","result",0.0045314,0.0000076,0xC3,0x00
"SPI","result",0.0045404,0.0000076,0xD8,0x00
"SPI","result",0.0045494,0.0000076,0x57,0x00
"SPI","result",0.0045584,0.0000076,0xDF,0x00
"SPI","result",0.0045674,0.0000076,0x3C,0x00
"SPI","result",0.0045763,0.0000077,0xA9,0x00
"SPI","result",0.0045853,0.0000077,0x4C,0x00
"SPI","result",0.0045943,0.0000077,0xA0,0x00
"SPI","result",0.0046033,0.0000077,0x3E,0x00
"SPI","result",0.0046123,0.0000077,0x38,0x00
"SPI","result",0.0046213,0.0000077,0x95,0x00
"SPI","result",0.0046303,0.0000077,0xBF,0x00
"SPI","result",0.0046393,0.0000077,0xEF,0x00
"SPI","result",0.0046483,0.0000077,0x66,0x00
"SPI","result",0.0046573,0.0000077,0x74,0x00
"SPI","result",0.0046663,0.0000077,0x24,0x00
"SPI","result",0.0046753,0.0000077,0x1E,0x00
"SPI","result",0.0046843,0.0000077,0x0D,0x00
"SPI","result",0.0046933,0.0000077,0xF9,0x00
"SPI","result",0.0047023,0.0000077,0x2D,0x00
"SPI","result",0.0047113,0.0000077,0xCF,0x00
"SPI","result",0.0047203,0.0000077,0xD6,0x00
"SPI","result",0.0047293,0.0000077,0x9E,0x00
"SPI","result",0.0047383,0.0000077,0x7D,0x00
"SPI","result",0.0047473,0.0000077,0x70,0x00
"SPI","result",0.0047563,0.0000077,0x8E,0x00
"SPI","result",0.0047653,0.0000077,0x8C,0x00
"SPI","result",0.0047743,0.0000077,0xF4,0x00
"SPI","result",0.0047833,0.0000077,0x4E,0x00
"SPI","result",0.0047923,0.0000077,0x3A,0x00
"SPI","result",0.0048013,0.0000077,0xCA,0x00
"SPI","result",0.0048103,0.0000077,0x7E,0x00
"SPI","result",0.0048193,0.0000077,0xDD,0x00
"SPI","result",0.0048283,0.0000077,0x6D,0x00
"SPI","result",0.0048373,0.0000077,0xF3,0x00
"SPI","result",0.0048463,0.0000077,0xA5,0x00
"SPI","result",0.0048553,0.0000077,0x36,0x00
"SPI","result",0.0048643,0.0000077,0xF8,0x00
"SPI","result",0.0048733,0.0000076,0x9A,0x00
"SPI","result",0.0048823,0.0000076,0xD3,0x00
"SPI","result",0.0048913,0.0000076,0x0C,0x00
"SPI","result",0.0049003,0.0000076,0x61,0x00
